***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
LSTM_client_001.out:                     87.41, 87.41, 87.41 |  24.7,  24.7,  24.7
LSTM_client_002.out:                     87.94, 87.94, 87.94 | 21.78, 21.78, 21.78
LSTM_client_003.out:                     87.57, 87.57, 87.57 |  21.8,  21.8,  21.8
LSTM_client_004.out:                     94.99, 94.99, 94.99 |  7.44,  7.44,  7.44
LSTM_client_005.out:                     89.02, 89.02, 89.02 |  20.9,  20.9,  20.9
LSTM_client_006.out:                     86.89, 86.89, 86.89 | 22.04, 22.04, 22.04
LSTM_client_007.out:                     83.21, 83.21, 83.21 | 24.64, 24.64, 24.64
LSTM_client_008.out:                     80.26, 80.26, 80.26 | 48.16, 48.16, 48.16
LSTM_server_001.out:                     85.01, 85.01, 85.01 | 26.86, 26.86, 26.86
LSTM_server_002.out:                     85.39, 85.39, 85.39 | 18.38, 18.38, 18.38
LSTM_server_003.out:                     91.03, 91.03, 91.03 |  17.1,  17.1,  17.1
LSTM_server_004.out:                     88.62, 88.62, 88.62 |  21.8,  21.8,  21.8
LSTM_server_009.out:                     83.03, 83.03, 83.03 | 33.14, 33.14, 33.14
LSTM_server_010.out:                     91.33, 91.33, 91.33 |  16.6,  16.6,  16.6
LSTM_server_011.out:                     97.07, 97.07, 97.07 |   5.7,   5.7,   5.7
LSTM_server_012.out:                     91.29, 91.29, 91.29 | 16.62, 16.62, 16.62
LSTM_server_013.out:                     88.68, 88.68, 88.68 | 21.84, 21.84, 21.84
LSTM_server_014.out:                     83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
LSTM_server_015.out:                     83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
LSTM_server_016.out:                      58.6,  58.6,  58.6 | 78.42, 78.42, 78.42
LSTM_server_017.out:                     86.22, 86.22, 86.22 | 23.18, 23.18, 23.18
LSTM_server_018.out:                     93.82, 93.82, 93.82 |   9.8,   9.8,   9.8
LSTM_server_019.out:                     88.31, 88.31, 88.31 | 18.32, 18.32, 18.32
LSTM_server_020.out:                     92.03, 92.03, 92.03 | 13.46, 13.46, 13.46
LSTM_server_021.out:                     93.45, 93.45, 93.45 |  10.5,  10.5,  10.5
LSTM_server_022.out:                      95.9,  95.9,  95.9 |  6.94,  6.94,  6.94
LSTM_server_023.out:                     57.15, 57.15, 57.15 | 79.68, 79.68, 79.68
LSTM_server_024.out:                     65.51, 65.51, 65.51 | 65.82, 65.82, 65.82
LSTM_server_025.out:                     56.23, 56.23, 56.23 | 80.52, 80.52, 80.52
LSTM_server_026.out:                     59.22, 59.22, 59.22 | 75.28, 75.28, 75.28
LSTM_server_027.out:                     54.09, 54.09, 54.09 | 84.71, 84.71, 84.71
LSTM_server_028.out:                     56.04, 56.04, 56.04 |  82.2,  82.2,  82.2
LSTM_server_029.out:                     55.97, 55.97, 55.97 |  82.2,  82.2,  82.2
LSTM_server_030.out:                     55.61, 55.61, 55.61 |  82.6,  82.6,  82.6
LSTM_server_031.out:                     53.99, 53.99, 53.99 | 85.46, 85.46, 85.46
LSTM_server_032.out:                      53.6,  53.6,  53.6 | 85.54, 85.54, 85.54
LSTM_server_033.out:                     71.92, 71.92, 71.92 | 53.24, 53.24, 53.24
LSTM_server_034.out:                     72.27, 72.27, 72.27 |  52.6,  52.6,  52.6
LSTM_server_035.out:                     73.75, 73.75, 73.75 |    50,    50,    50
LSTM_server_036.out:                     88.39, 88.39, 88.39 |  18.9,  18.9,  18.9
LSTM_server_037.out:                     88.64, 88.64, 88.64 | 20.36, 20.36, 20.36
LSTM_server_038.out:                     86.32, 86.32, 86.32 | 24.24, 24.24, 24.24
LSTM_server_039.out:                     81.26, 81.26, 81.26 | 31.28, 31.28, 31.28
LSTM_spec_gcc_001.out:                   91.46, 91.46, 91.46 | 25.38, 25.38, 25.38
LSTM_spec_gcc_002.out:                   78.68, 78.68, 78.68 | 50.24, 50.24, 50.24
LSTM_spec_gcc_003.out:                   83.17, 83.17, 83.17 |  39.4,  39.4,  39.4
LSTM_spec_gobmk_001.out:                 83.98, 83.98, 83.98 | 26.54, 26.54, 26.54
LSTM_spec_gobmk_002.out:                  79.4,  79.4,  79.4 | 36.38, 36.38, 36.38
LSTM_spec_perlbench_001.out:             97.91, 97.91, 97.91 |  3.76,  3.76,  3.76
LSTM_spec_x264_001.out:                  78.82, 78.82, 78.82 |   7.7,   7.7,   7.7
perceptron-copy_client_001.out:          80.66, 80.66, 80.66 | 37.98, 37.98, 37.98
perceptron-copy_client_002.out:          82.68, 82.68, 82.68 | 31.28, 31.28, 31.28
perceptron-copy_client_003.out:          83.09, 83.09, 83.09 | 29.66, 29.66, 29.66
perceptron-copy_client_004.out:          87.79, 87.79, 87.79 | 18.14, 18.14, 18.14
perceptron-copy_client_005.out:          82.86, 82.86, 82.86 | 32.58, 32.58, 32.58
perceptron-copy_client_006.out:          78.58, 78.58, 78.58 |    36,    36,    36
perceptron-copy_client_007.out:          72.28, 72.28, 72.28 | 40.56, 40.56, 40.56
perceptron-copy_client_008.out:          72.02, 72.02, 72.02 | 68.25, 68.25, 68.25
perceptron-copy_server_001.out:          80.74, 80.74, 80.74 | 34.52, 34.52, 34.52
perceptron-copy_server_002.out:          76.07, 76.07, 76.07 | 30.08, 30.08, 30.08
perceptron-copy_server_003.out:          86.27, 86.27, 86.27 |  26.2,  26.2,  26.2
perceptron-copy_server_004.out:          83.51, 83.51, 83.51 | 31.58, 31.58, 31.58
perceptron-copy_server_009.out:          71.69, 71.69, 71.69 | 55.26, 55.26, 55.26
perceptron-copy_server_010.out:          86.41, 86.41, 86.41 |  25.9,  25.9,  25.9
perceptron-copy_server_011.out:          95.92, 95.92, 95.92 |  7.94,  7.94,  7.94
perceptron-copy_server_012.out:          86.64, 86.64, 86.64 | 25.48, 25.48, 25.48
perceptron-copy_server_013.out:          83.65, 83.65, 83.65 | 31.54, 31.54, 31.54
perceptron-copy_server_014.out:          73.52, 73.52, 73.52 | 34.78, 34.78, 34.78
perceptron-copy_server_015.out:          73.52, 73.52, 73.52 | 34.78, 34.78, 34.78
perceptron-copy_server_016.out:          48.77, 48.77, 48.77 | 97.04, 97.04, 97.04
perceptron-copy_server_017.out:          78.16, 78.16, 78.16 | 36.72, 36.72, 36.72
perceptron-copy_server_018.out:          87.35, 87.35, 87.35 | 20.06, 20.06, 20.06
perceptron-copy_server_019.out:           81.2,  81.2,  81.2 | 29.48, 29.48, 29.48
perceptron-copy_server_020.out:          85.33, 85.33, 85.33 | 24.78, 24.78, 24.78
perceptron-copy_server_021.out:          87.46, 87.46, 87.46 | 20.12, 20.12, 20.12
perceptron-copy_server_022.out:          81.33, 81.33, 81.33 |  31.7,  31.7,  31.7
perceptron-copy_server_023.out:          47.23, 47.23, 47.23 | 97.81, 97.81, 97.81
perceptron-copy_server_024.out:          58.35, 58.35, 58.35 | 79.54, 79.54, 79.54
perceptron-copy_server_025.out:          45.69, 45.69, 45.69 | 99.92, 99.92, 99.92
perceptron-copy_server_026.out:          49.57, 49.57, 49.57 | 93.08, 93.08, 93.08
perceptron-copy_server_027.out:           43.1,  43.1,  43.1 |   105,   105,   105
perceptron-copy_server_028.out:          45.73, 45.73, 45.73 | 101.5, 101.5, 101.5
perceptron-copy_server_029.out:          44.75, 44.75, 44.75 | 103.2, 103.2, 103.2
perceptron-copy_server_030.out:          44.62, 44.62, 44.62 |   103,   103,   103
perceptron-copy_server_031.out:          43.15, 43.15, 43.15 | 105.6, 105.6, 105.6
perceptron-copy_server_032.out:          43.12, 43.12, 43.12 | 104.9, 104.9, 104.9
perceptron-copy_server_033.out:          56.81, 56.81, 56.81 | 81.83, 81.83, 81.83
perceptron-copy_server_034.out:          57.01, 57.01, 57.01 | 81.42, 81.42, 81.42
perceptron-copy_server_035.out:          58.42, 58.42, 58.42 | 78.82, 78.82, 78.82
perceptron-copy_server_036.out:          73.82, 73.82, 73.82 | 42.52, 42.52, 42.52
perceptron-copy_server_037.out:           72.7,  72.7,  72.7 | 48.68, 48.68, 48.68
perceptron-copy_server_038.out:           69.9,  69.9,  69.9 | 53.32, 53.32, 53.32
perceptron-copy_server_039.out:          66.67, 66.67, 66.67 |  55.6,  55.6,  55.6
perceptron-copy_spec_gcc_001.out:         89.4,  89.4,  89.4 |  31.5,  31.5,  31.5
perceptron-copy_spec_gcc_002.out:        71.54, 71.54, 71.54 | 67.08, 67.08, 67.08
perceptron-copy_spec_gcc_003.out:        78.48, 78.48, 78.48 | 50.36, 50.36, 50.36
perceptron-copy_spec_gobmk_001.out:      77.56, 77.56, 77.56 | 37.12, 37.12, 37.12
perceptron-copy_spec_gobmk_002.out:      75.49, 75.49, 75.49 | 43.32, 43.32, 43.32
perceptron-copy_spec_perlbench_001.out:  97.69, 97.69, 97.69 |  4.16,  4.16,  4.16
perceptron-copy_spec_x264_001.out:       82.15, 82.15, 82.15 |  6.48,  6.48,  6.48
***
***
Prediction accuracy | MPKI | IPC | ... and so on
bimodal-copy 82.40% 31.92
gshare-copy 79.97% 36.33
perceptron-copy 71.61% 51.36
***
