***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
LSTM_spec_gobmk_001.out:                 83.98, 83.98, 83.98 | 26.54, 26.54, 26.54
LSTM_spec_gobmk_002.out:                  79.4,  79.4,  79.4 | 36.38, 36.38, 36.38
LSTM_spec_perlbench_001.out:             97.91, 97.91, 97.91 |  3.76,  3.76,  3.76
LSTM_spec_x264_001.out:                  78.82, 78.82, 78.82 |   7.7,   7.7,   7.7
perceptron-copy_client_001.out:          80.66, 80.66, 80.66 | 37.98, 37.98, 37.98
perceptron-copy_client_002.out:          82.68, 82.68, 82.68 | 31.28, 31.28, 31.28
perceptron-copy_client_003.out:          83.09, 83.09, 83.09 | 29.66, 29.66, 29.66
perceptron-copy_client_004.out:          87.79, 87.79, 87.79 | 18.14, 18.14, 18.14
perceptron-copy_client_005.out:          82.86, 82.86, 82.86 | 32.58, 32.58, 32.58
perceptron-copy_client_006.out:          78.58, 78.58, 78.58 |    36,    36,    36
perceptron-copy_client_007.out:          72.28, 72.28, 72.28 | 40.56, 40.56, 40.56
perceptron-copy_client_008.out:          72.02, 72.02, 72.02 | 68.25, 68.25, 68.25
perceptron-copy_server_001.out:          80.74, 80.74, 80.74 | 34.52, 34.52, 34.52
perceptron-copy_server_002.out:          76.07, 76.07, 76.07 | 30.08, 30.08, 30.08
perceptron-copy_server_003.out:          86.27, 86.27, 86.27 |  26.2,  26.2,  26.2
perceptron-copy_server_004.out:          83.51, 83.51, 83.51 | 31.58, 31.58, 31.58
perceptron-copy_server_009.out:          71.69, 71.69, 71.69 | 55.26, 55.26, 55.26
perceptron-copy_server_010.out:          86.41, 86.41, 86.41 |  25.9,  25.9,  25.9
perceptron-copy_server_011.out:          95.92, 95.92, 95.92 |  7.94,  7.94,  7.94
perceptron-copy_server_012.out:          86.64, 86.64, 86.64 | 25.48, 25.48, 25.48
perceptron-copy_server_013.out:          83.65, 83.65, 83.65 | 31.54, 31.54, 31.54
perceptron-copy_server_014.out:          73.52, 73.52, 73.52 | 34.78, 34.78, 34.78
perceptron-copy_server_015.out:          73.52, 73.52, 73.52 | 34.78, 34.78, 34.78
